,id,name,cumulative,pct
57,1627,"cms::MuonMETValueMapProducer::produce(edm::Event&, edm::EventSetup const&)",7.585,0.09
58,1648,"HGCalRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",7.31,0.09
59,1664,"cms::SiPixelRecHitConverter::produce(edm::Event&, edm::EventSetup const&)",7.055,0.08
60,1693,"TopProjector<reco::PFCandidate, reco::PFCandidate, TopProjectorFwdPtrOverlap<reco::PFCandidate, reco::PFCandidate> >::produce(edm::Event&, edm::EventSetup const&)",6.595,0.08
61,1698,"GlobalMuonProducer::produce(edm::Event&, edm::EventSetup const&)",6.525,0.08
62,1709,"JetTagProducer::produce(edm::Event&, edm::EventSetup const&)",6.415,0.07
63,1746,"MultiClustersFromTrackstersProducer::produce(edm::Event&, edm::EventSetup const&)",6.035,0.07
64,1753,"TevMuonProducer::produce(edm::Event&, edm::EventSetup const&)",5.91,0.07
65,1780,"HGCalUncalibRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",5.66,0.07
66,1826,"TemplatedSecondaryVertexProducer<reco::IPTagInfo<std::vector<edm::Ptr<reco::Candidate>, std::allocator<edm::Ptr<reco::Candidate> > >, reco::JetTagInfo>, reco::VertexCompositePtrCandidate>::produce(edm::Event&, edm::EventSetup const&)",5.11,0.06
67,1827,"reco::CSCHaloDataProducer::produce(edm::Event&, edm::EventSetup const&)",5.11,0.06
68,2023,"MTDTrackQualityMVAProducer::produce(edm::Event&, edm::EventSetup const&)",3.55,0.04
69,2043,"TICLLayerTileProducer::produce(edm::Event&, edm::EventSetup const&)",3.44,0.04
70,2164,"CandIsoDepositProducer::produce(edm::Event&, edm::EventSetup const&)",3.03,0.04
71,2181,"GEDPhotonProducer::produce(edm::Event&, edm::EventSetup const&)",2.945,0.03
72,2242,"HBHEPhase1Reconstructor::produce(edm::Event&, edm::EventSetup const&)",2.78,0.03
73,2418,"PFTauPrimaryVertexProducerBase::produce(edm::Event&, edm::EventSetup const&)",2.27,0.03
74,2473,"MultiTrackSelector::run(edm::Event&, edm::EventSetup const&) const",2.145,0.03
75,2601,"DeDxEstimatorProducer::produce(edm::Event&, edm::EventSetup const&)",1.895,0.02
76,2640,"SeedingLayersEDProducer::produce(edm::Event&, edm::EventSetup const&)",1.83,0.02
77,2770,"CandIsolatorFromDeposits::produce(edm::Event&, edm::EventSetup const&)",1.605,0.02
78,2781,"JetTracksAssociatorAtCaloFace::produce(edm::Event&, edm::EventSetup const&)",1.59,0.02
79,2805,"MTDClusterProducer::produce(edm::Event&, edm::EventSetup const&)",1.57,0.02
80,2817,"ObjectSelectorProducer<SingleElementCollectionSelectorPlusEvent<std::vector<reco::Track, std::allocator<reco::Track> >, TrackWithVertexSelector, edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, helper::SelectionRefAdder<edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> > > >, edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, helper::NullPostProcessor<edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, edm::stream::EDProducer<> >, helper::CollectionStoreManager<edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, helper::IteratorToObjectConverter<edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> > > >, helper::ObjectSelectorBase<edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, edm::stream::EDProducer<> >, reco::modules::NoEventSetupInit<SingleElementCollectionSelectorPlusEvent<std::vector<reco::Track, std::allocator<reco::Track> >, TrackWithVertexSelector, edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> >, helper::SelectionRefAdder<edm::RefVector<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track, edm::refhelper::FindUsingAdvance<std::vector<reco::Track, std::allocator<reco::Track> >, reco::Track> > > > > >::produce(edm::Event&, edm::EventSetup const&)",1.56,0.02
81,2834,"CandidateProducer<edm::View<reco::Track>, std::vector<reco::RecoChargedRefCandidate, std::allocator<reco::RecoChargedRefCandidate> >, AnySelector, converter::TrackToRefCandidate, converter::helper::ConcreteCreator, reco::modules::NoEventSetupInit<AnySelector> >::produce(edm::Event&, edm::EventSetup const&)",1.535,0.02
82,2847,"HGCalTrackCollectionProducer::produce(edm::Event&, edm::EventSetup const&)",1.52,0.02
83,2910,"RecoTauCleanerImpl<std::vector<reco::PFTau, std::allocator<reco::PFTau> > >::produce(edm::Event&, edm::EventSetup const&)",1.41,0.02
84,2969,"CSCDCCUnpacker::produce(edm::Event&, edm::EventSetup const&)",1.33,0.02
85,2993,"ReducedRecHitCollectionProducer::produce(edm::Event&, edm::EventSetup const&)",1.315,0.02
86,3098,"MTDTrackingRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",1.19,0.01
87,3127,"PFLinker::produce(edm::Event&, edm::EventSetup const&)",1.17,0.01
88,3188,"CaloTowersCreator::produce(edm::Event&, edm::EventSetup const&)",1.11,0.01
89,3193,"TemplatedVertexMerger<reco::Vertex>::produce(edm::Event&, edm::EventSetup const&)",1.105,0.01
90,3209,"FilteredLayerClustersProducer::produce(edm::Event&, edm::EventSetup const&)",1.075,0.01
91,3262,"HybridClusterProducer::produce(edm::Event&, edm::EventSetup const&)",1.025,0.01
92,3295,"RecoTauGenericJetRegionProducer<reco::PFJet, reco::PFCandidate>::produce(edm::Event&, edm::EventSetup const&)",1.005,0.01
93,3321,"MuonReSeeder::produce(edm::Event&, edm::EventSetup const&)",0.985,0.01
94,3354,"MTDUncalibratedRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",0.96,0.01
95,3382,"PhotonCoreProducer::produce(edm::Event&, edm::EventSetup const&)",0.94,0.01
96,3414,"ConvertedPhotonProducer::produce(edm::Event&, edm::EventSetup const&)",0.92,0.01
97,3547,"CorrectedECALPFClusterProducer::produce(edm::Event&, edm::EventSetup const&)",0.84,0.01
98,3573,"CSCRecHitDProducer::produce(edm::Event&, edm::EventSetup const&)",0.825,0.01
99,3674,"CSCSegmentProducer::produce(edm::Event&, edm::EventSetup const&)",0.76,0.01
100,3723,"GamIsoDetIdCollectionProducer::produce(edm::Event&, edm::EventSetup const&)",0.74,0.01
101,3752,"FixedGridRhoProducerFastjet::produce(edm::Event&, edm::EventSetup const&)",0.725,0.01
102,3772,"DTRecSegment4DProducer::produce(edm::Event&, edm::EventSetup const&)",0.715,0.01
103,3895,"SeedClusterRemoverPhase2::produce(edm::Event&, edm::EventSetup const&)",0.665,0.01
104,3939,"reco::EcalHaloDataProducer::produce(edm::Event&, edm::EventSetup const&)",0.65,0.01
105,4049,"PFMultiDepthClusterProducer::produce(edm::Event&, edm::EventSetup const&)",0.615,0.01
106,4117,"ParticleBasedIsoProducer::produce(edm::Event&, edm::EventSetup const&)",0.59,0.01
107,4129,"InterestingDetIdCollectionProducer::produce(edm::Event&, edm::EventSetup const&)",0.585,0.01
108,4174,"ConversionTrackProducer::produce(edm::Event&, edm::EventSetup const&)",0.57,0.01
109,4332,"ClusterSummaryProducer::produce(edm::Event&, edm::EventSetup const&)",0.515,0.01
110,4331,"TemplatedVertexMerger<reco::VertexCompositePtrCandidate>::produce(edm::Event&, edm::EventSetup const&)",0.515,0.01
111,4466,"Phase2TrackerClusterizer::produce(edm::Event&, edm::EventSetup const&)",0.48,0.01
112,4685,"TauDiscriminationProducerBase<reco::PFTau, reco::PFTauDiscriminator, double, reco::PFTauDiscriminator>::produce(edm::Event&, edm::EventSetup const&)",0.42,0.0
113,4717,"(anonymous namespace)::DeepFlavourJetTagsProducer::produce(edm::Event&, edm::EventSetup const&)",0.41,0.0
114,4718,"GEDPhotonCoreProducer::produce(edm::Event&, edm::EventSetup const&)",0.41,0.0
115,4719,"citk::PFIsolationSumProducer::produce(edm::Event&, edm::EventSetup const&)",0.41,0.0
116,4759,"LowPtGsfElectronSCProducer::produce(edm::Event&, edm::EventSetup const&)",0.4,0.0
117,4808,"GlobalTrackQualityProducer::produce(edm::Event&, edm::EventSetup const&)",0.385,0.0
118,5010,"MTDRecHitProducer::produce(edm::Event&, edm::EventSetup const&)",0.34,0.0
119,5011,"cms::PFMETProducer::produce(edm::Event&, edm::EventSetup const&)",0.34,0.0
120,5038,"reco::HcalHaloDataProducer::produce(edm::Event&, edm::EventSetup const&)",0.335,0.0
121,5060,"MuonProducer::produce(edm::Event&, edm::EventSetup const&)",0.33,0.0
122,5061,"reco::ParticleFlowForChargedMETProducer::produce(edm::Event&, edm::EventSetup const&)",0.33,0.0
123,5117,"EcalRawToDigi::produce(edm::Event&, edm::EventSetup const&)",0.32,0.0
124,5199,"cms::CaloMETProducer::produce(edm::Event&, edm::EventSetup const&)",0.305,0.0
125,5369,"FixedGridRhoProducer::produce(edm::Event&, edm::EventSetup const&)",0.28,0.0
126,5427,"JetIDProducer::produce(edm::Event&, edm::EventSetup const&)",0.27,0.0
127,5515,"TemplatedDeepNNTagInfoProducer<reco::IPTagInfo<std::vector<edm::Ptr<reco::Candidate>, std::allocator<edm::Ptr<reco::Candidate> > >, reco::JetTagInfo>, reco::TemplatedSecondaryVertexTagInfo<reco::IPTagInfo<std::vector<edm::Ptr<reco::Candidate>, std::allocator<edm::Ptr<reco::Candidate> > >, reco::JetTagInfo>, reco::VertexCompositePtrCandidate> >::produce(edm::Event&, edm::EventSetup const&)",0.26,0.0
128,5428,"edm::Event::commit_(std::vector<unsigned int, std::allocator<unsigned int> > const&, edm::Hash<5>*)",0.27,0.0
