Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.063830      +0.00%         0.24 ms/ev ->         0.79 ms/ev uncleanedOnlyElectronGsfTracks
   +0.943887      +0.22%       103.31 ms/ev ->       287.97 ms/ev particleFlowSuperClusterHGCalFromMultiCl
   +0.773803      +0.00%         1.11 ms/ev ->         2.52 ms/ev uncleanedOnlyConversionTrackCandidates
   -0.417836      -0.00%         2.20 ms/ev ->         1.44 ms/ev muonSeededSeedsOutInDisplaced
   -0.393673      -0.01%        16.80 ms/ev ->        11.27 ms/ev vertexMerger
   -0.365733      -0.00%         0.72 ms/ev ->         0.50 ms/ev muonSeededSeedsOutIn
   -0.335479      -0.00%         1.54 ms/ev ->         1.10 ms/ev muonSeededTrackCandidatesOutIn
   +0.324494      +0.00%         0.93 ms/ev ->         1.29 ms/ev uncleanedOnlyElectronSeeds
   -0.297192      -0.00%         2.52 ms/ev ->         1.86 ms/ev candidateVertexMerger
   -0.294755      -0.00%         4.03 ms/ev ->         2.99 ms/ev candidateVertexMergerCvsL
   +0.287160      +0.00%         2.54 ms/ev ->         3.39 ms/ev lowPtGsfElectronID
   +0.246919      +0.00%         1.96 ms/ev ->         2.51 ms/ev GlobalHaloData
   +0.219136      +0.01%        48.28 ms/ev ->        60.16 ms/ev CSCHaloData
   -0.191474      -0.02%       114.51 ms/ev ->        94.50 ms/ev inclusiveVertexFinder
   +0.168595      +0.00%        22.27 ms/ev ->        26.38 ms/ev hpsPFTauProducerSansRefs
   +0.162266      +0.30%      1432.11 ms/ev ->      1685.01 ms/ev muonSimClassifier
   -0.157957      -0.02%       129.18 ms/ev ->       110.27 ms/ev inclusiveCandidateVertexFinderCvsL
   -0.157035      -0.02%       128.91 ms/ev ->       110.14 ms/ev inclusiveCandidateVertexFinder
   +0.147149      +0.01%        65.89 ms/ev ->        76.35 ms/ev tevMuons
   +0.144853      +0.02%       127.78 ms/ev ->       147.73 ms/ev cosmicMuons
   +0.142066      +0.01%        48.37 ms/ev ->        55.77 ms/ev ecalDrivenGsfElectronCoresFromMultiCl
   +0.136747      +0.01%        60.33 ms/ev ->        69.18 ms/ev photonIDValueMaps
   -0.131540      -0.06%       389.27 ms/ev ->       341.23 ms/ev trackVertexArbitrator
   +0.123772      +0.00%        10.36 ms/ev ->        11.73 ms/ev muonSeededSeedsInOut
   +0.119163      +0.00%         7.66 ms/ev ->         8.63 ms/ev cscSegments
   -0.117569      -0.00%         6.40 ms/ev ->         5.69 ms/ev photonCoreFromMultiCl
   +0.113227      +0.00%        14.39 ms/ev ->        16.12 ms/ev muonSeededTracksInOut
   +0.111939      +0.00%        22.18 ms/ev ->        24.81 ms/ev muonSeededTrackCandidatesInOut
   +0.111720      +0.00%        13.27 ms/ev ->        14.84 ms/ev reducedEcalRecHitsEB
   +0.110301      +0.00%        14.59 ms/ev ->        16.29 ms/ev muonsFromCosmics
   +0.106355      +0.02%       141.42 ms/ev ->       157.30 ms/ev conversionTrackCandidates
   +0.102287      +0.01%        81.26 ms/ev ->        90.02 ms/ev displacedStandAloneMuons
   -0.100337      -0.05%       475.38 ms/ev ->       429.96 ms/ev candidateVertexArbitratorCvsL
   -0.096740      -0.04%       402.04 ms/ev ->       364.94 ms/ev candidateVertexArbitrator
   +0.081384      +0.01%        70.36 ms/ev ->        76.33 ms/ev globalMuons
   +0.080146      +0.02%       176.23 ms/ev ->       190.95 ms/ev cosmicMuons1Leg
   -0.079165      -0.12%      1328.33 ms/ev ->      1227.18 ms/ev unsortedOfflinePrimaryVertices4DnoPID
   -0.076407      -0.00%        13.68 ms/ev ->        12.68 ms/ev pfNoPileUpIso
   -0.076392      -0.15%      1692.44 ms/ev ->      1567.90 ms/ev unsortedOfflinePrimaryVertices4D
   -0.072612      -0.00%         8.82 ms/ev ->         8.20 ms/ev muonsFromCosmics1Leg
   +0.069923      +0.01%        89.85 ms/ev ->        96.36 ms/ev hgcalDigis
   +0.069507      +0.02%       283.75 ms/ev ->       304.19 ms/ev particleFlowClusterHGCalFromMultiCl
   -0.067761      -0.00%         6.81 ms/ev ->         6.36 ms/ev ak8PFJetsPuppiSoftDrop
   +0.067536      +0.00%        43.31 ms/ev ->        46.33 ms/ev standAloneMuons
   +0.066579      +0.00%        14.66 ms/ev ->        15.68 ms/ev ecalDrivenGsfElectronCores
   -0.064891      -0.00%        41.91 ms/ev ->        39.27 ms/ev pfNoPileUpJME
