Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.063573      +0.00%         4.94 ms/ev ->         5.26 ms/ev clusterSummaryProducer
   -0.062943      -0.01%        73.75 ms/ev ->        69.25 ms/ev siPixelClustersPreSplitting@cpu
   +0.061956      +0.12%      1578.74 ms/ev ->      1679.68 ms/ev trackExtenderWithMTD
   -0.061345      -0.01%        95.50 ms/ev ->        89.82 ms/ev hgcalDigis
   +0.061066      +0.01%        94.51 ms/ev ->       100.47 ms/ev inclusiveVertexFinder
   +0.059562      +0.02%       338.96 ms/ev ->       359.77 ms/ev trackVertexArbitrator
   -0.059058      -0.05%       664.27 ms/ev ->       626.16 ms/ev highPtTripletStepHitTriplets
   -0.058701      -0.02%       301.84 ms/ev ->       284.62 ms/ev particleFlowClusterHGCalFromMultiCl
   +0.058275      +0.01%        74.78 ms/ev ->        79.26 ms/ev muonMETValueMapProducer
   -0.057264      -0.06%       973.44 ms/ev ->       919.25 ms/ev ticlTrackstersTrk
   -0.057223      -0.01%        89.65 ms/ev ->        84.66 ms/ev displacedStandAloneMuons
   +0.056922      +0.01%       110.02 ms/ev ->       116.47 ms/ev inclusiveCandidateVertexFinder
   +0.056578      +0.01%       110.14 ms/ev ->       116.55 ms/ev inclusiveCandidateVertexFinderCvsL
   +0.056125      +0.01%       145.57 ms/ev ->       153.98 ms/ev pfTrack
   +0.054179      +0.00%         6.52 ms/ev ->         6.89 ms/ev lowPtGsfEleCkfTrackCandidates
   +0.052160      +0.00%        33.82 ms/ev ->        35.63 ms/ev lowPtGsfEleGsfTracks
   -0.051942      -0.01%       215.16 ms/ev ->       204.27 ms/ev particleFlowRecHitHGC
   +0.051721      +0.00%         8.23 ms/ev ->         8.67 ms/ev muonsFromCosmics1Leg
   +0.051157      +0.00%        55.59 ms/ev ->        58.51 ms/ev ecalDrivenGsfElectronCoresFromMultiCl
   -0.050515      -0.10%      1673.01 ms/ev ->      1590.58 ms/ev muonSimClassifier
  ---------- ------------     --------                  ----       ------------
Job total:  84.618 s/ev ==> 85.0194 s/ev
