Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
     removed      -0.09%        76.50 ms/ev ->         0.00 ms/ev siPixelClustersPreSplitting
       added      +0.02%         0.00 ms/ev ->        16.71 ms/ev lowPtGsfElectronsPreRegression
       added      +0.09%         0.00 ms/ev ->        74.98 ms/ev siPixelClustersPreSplitting@cpu
   -1.876711      -0.02%        17.14 ms/ev ->         0.55 ms/ev lowPtGsfElectrons
   -1.500000      -0.00%         0.02 ms/ev ->         0.00 ms/ev interestingOotGamIsoDetIdEB
   -1.215686      -0.00%         0.04 ms/ev ->         0.01 ms/ev totemTimingLocalTracks
   -1.142857      -0.00%         0.01 ms/ev ->         0.00 ms/ev interestingEcalDetIdOOTPFEE
   -0.747595      -0.00%         6.21 ms/ev ->         2.83 ms/ev lowPtGsfElectronID
   -0.721981      -0.00%         1.10 ms/ev ->         0.52 ms/ev muonSeededSeedsOutInDisplaced
   -0.572759      -0.00%         1.10 ms/ev ->         0.61 ms/ev uncleanedOnlyElectronGsfTracks
   +0.460350      +0.32%       459.68 ms/ev ->       734.57 ms/ev ticlTrackstersMerge
   +0.302860      +0.00%         0.91 ms/ev ->         1.23 ms/ev muonSeededTrackCandidatesOutIn
   +0.281597      +0.04%        92.60 ms/ev ->       122.94 ms/ev ticlTrackstersHAD
   +0.252607      +0.25%       744.32 ms/ev ->       959.52 ms/ev ticlTrackstersTrk
   +0.236498      +0.35%      1119.42 ms/ev ->      1419.67 ms/ev ticlTrackstersEM
   -0.222267      -0.00%        16.47 ms/ev ->        13.17 ms/ev reducedEcalRecHitsEB
   -0.137302      -0.02%       106.32 ms/ev ->        92.66 ms/ev inclusiveVertexFinder
   -0.126077      -0.02%       119.96 ms/ev ->       105.73 ms/ev inclusiveCandidateVertexFinder
   -0.126019      -0.02%       120.10 ms/ev ->       105.86 ms/ev inclusiveCandidateVertexFinderCvsL
   -0.121536      -0.02%       186.77 ms/ev ->       165.37 ms/ev offlinePrimaryVerticesWithBS
   -0.121050      -0.02%       169.37 ms/ev ->       150.04 ms/ev offlinePrimaryVertices4D
   -0.120728      -0.02%       168.20 ms/ev ->       149.05 ms/ev offlinePrimaryVertices4DWithBS
   +0.118946      +0.09%       621.44 ms/ev ->       700.03 ms/ev ticlTrackstersTrkEM
   -0.118214      -0.02%       165.01 ms/ev ->       146.59 ms/ev offlinePrimaryVertices4DnoPID
   -0.118202      -0.02%       163.76 ms/ev ->       145.49 ms/ev offlinePrimaryVertices4DnoPIDWithBS
   -0.116671      -0.02%       185.96 ms/ev ->       165.46 ms/ev offlinePrimaryVertices
